Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
10856	Профиль 062 P2 многофункциональный	0,84	0,80	0,78	0,72	м.п.	1,05
10803	Профиль 100 P4 (6 м)	0,67	0,61	0,55	0,52	м.п.	0,8375
10872	Профиль 100 P6 (6 м)	0,67	0,61	0,55	0,52	м.п.	0,8375
10804	Профиль 100 P7 (6 м)	0,67	0,61	0,55	0,52	м.п.	0,8375
10805	Профиль 100 P8 (6 м)	0,67	0,61	0,55	0,52	м.п.	0,8375
10806	Профиль 100 P9 (6 м)	0,67	0,61	0,55	0,52	м.п.	0,8375
10888	Профиль 100 Р10 синий (6 м)	0,67	0,61	0,55	0,52	м.п.	0,8375
10809	Профиль 101 P4 черный	0,84	0,78	0,67	0,54	м.п.	1,05
10871	Профиль 101 P6 мрамор	0,84	0,78	0,67	0,54	м.п.	1,05
10810	Профиль 101 P7 тем. д-во	0,84	0,78	0,67	0,54	м.п.	1,05
10811	Профиль 101 P8 св. д-во	0,84	0,78	0,67	0,54	м.п.	1,05
10875	Профиль 101 P8 св. д-во Rolvaplast	0,84	0,78	0,67	0,54	м.п.	1,05
10812	Профиль 101 P9 зеленый	0,84	0,78	0,67	0,54	м.п.	1,05
10889	Профиль 101 Р10 синий (6 м)	0,84	0,78	0,67	0,54	м.п.	1,05
10813	Профиль 102 P1 (6 м)	1,12	0,88	0,83	0,78	м.п.	1,4
10814	Профиль 102 P2 (6 м)	1,12	0,88	0,83	0,78	м.п.	1,4
10817	Профиль 103 P4 черный	0,84	0,78	0,67	0,54	м.п.	1,05
10870	Профиль 103 P6 мрамор	0,84	0,78	0,67	0,54	м.п.	1,05
10818	Профиль 103 P7 тем.д-во	0,84	0,78	0,67	0,54	м.п.	1,05
10819	Профиль 103 P8 св. д-во	0,84	0,78	0,67	0,54	м.п.	1,05
10820	Профиль 103 P9 зеленый	0,84	0,78	0,67	0,54	м.п.	1,05
10890	Профиль 103 Р10 синий (6 м)	0,84	0,78	0,67	0,54	м.п.	1,05
10821	Профиль 104 P1 (6 м)	0,88	0,72	0,67	0,60	м.п.	1,1
10822	Профиль 104 P2 (6 м)	0,88	0,72	0,67	0,60	м.п.	1,1
10823	Профиль 104 P4 черный	0,95	0,78	0,72	0,66	м.п.	1,1875
10824	Профиль 104 P7 тем.д-во	0,95	0,78	0,72	0,66	м.п.	1,1875
10825	Профиль 104 P8 св.д-во	0,95	0,78	0,72	0,66	м.п.	1,1875
10826	Профиль 104 P9 зеленый	0,95	0,78	0,72	0,66	м.п.	1,1875
10891	Профиль 104 Р10 синий (6 м)	0,95	0,78	0,72	0,66	м.п.	1,1875
10878	Профиль 105-1 P1 (6 м)	0,98	0,91	0,78	0,68	м.п.	1,225
10879	Профиль 105-1 P2 (6 м)	1,13	1,03	0,98	0,92	м.п.	1,4125
10827	Профиль 105-2 P1 (6 м)	0,98	0,91	0,78	0,68	м.п.	1,225
10828	Профиль 105-2 P2 (6 м)	1,13	1,03	0,98	0,92	м.п.	1,4125
10829	Профиль 106 Р1 (6 м)	0,92	0,86	0,70	0,67	м.п.	1,15
10830	Профиль 106 Р2 (6 м)	0,92	0,86	0,70	0,67	м.п.	1,15
10863	Профиль 108 Р1	1,36	1,27	1,03	1,03	м.п.	1,7
10864	Профиль 108 Р2	1,36	1,27	1,03	1,03	м.п.	1,7
10833	Профиль 109 Р1 (2,7 м)	2,12	2,06	2,02	1,96	м.п.	2,65
10834	Профиль 109 Р2 (2,7 м)	2,12	2,06	2,02	1,96	м.п.	2,65
10839	Профиль 112 P4 черный	0,97	0,84	0,76	0,55	м.п.	1,2125
10840	Профиль 112 P7 тем.д-во	0,97	0,84	0,76	0,55	м.п.	1,2125
10841	Профиль 112 P8 св.д-во	0,97	0,84	0,76	0,55	м.п.	1,2125
