Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
14507	"Вставка ""Серебро"" Кроноспан"	2,86	2,65	2,30	2,10	шт
14508	"Вставка в пластик ""Желтая"""	1,30	1,25	1,20	1,15	шт
14509	"Вставка в пластик ""Зеленая"""	1,30	1,25	1,20	1,15	шт
14514	"Вставка в пластик ""Золото"""	2,20	2,10	2,00	1,85	шт
14510	"Вставка в пластик ""Красная"""	1,30	1,25	1,20	1,15	шт
14505	"Вставка в пластик ""Серебро"""	2,20	2,10	2,00	1,85	шт
14511	"Вставка в пластик ""Серый"""	1,30	1,25	1,20	1,15	шт
14512	"Вставка в пластик ""Синий"""	1,30	1,25	1,20	1,15	шт
14513	"Вставка в пластик ""Черная"""	1,30	1,25	1,20	1,15	шт
						
17 Вставки, Фурнитура, Кляймеры, Решетки, Вентиляторы. 17 Крепление к панелям,  цены в $						
						
14602	 Кляймер № 3 (упаковка 200 штук)	4,70	3,50	3,00	2,70	уп.
14605	 Кляймер № 5 ( упаковка 250 шт) Кроноспан	4,75	3,55	3,05	2,75	уп.
14606	 Кляймер №3 (пакет 220 шт)	4,00	3,60	3,00	2,42	уп.
14601	Кляймер № 3_	0,04	0,02	0,02	0,02	шт
14604	Кляймер № 5 ( упаковка 100 шт) АТЕХ	2,50	2,38	2,33	2,26	уп.
14603	Кляймер № 5_	0,04	0,02	0,02	0,02	шт
14607	Кляймер №3 (пакет 100 шт) с гвоздями	2,40	2,26	2,10	1,90	уп.
						
17 Вставки, Фурнитура, Кляймеры, Решетки, Вентиляторы. 17 Крепление к плинтусам,  цены в $						
						
14705	Кляймер Gardinia к пл. Praktikus (компл.)	0,18	0,17	0,16	0,14	шт
14702	"Кляймер к плинтусу ""Практикус"""	0,14	0,13	0,12	0,10	шт
						
17 Вставки, Фурнитура, Кляймеры, Решетки, Вентиляторы. 17 Разное /вент. системы/,  цены в $						
						
19747	Вент. решетка DOMUS 405 для прям. канала, белая	1,70	1,61	1,57	1,49	шт
19752	Держатель DOMUS 422 /для плоского канала	0,70	0,66	0,65	0,61	шт
19695	Заглушка DOMUS 418 д/плоского канала	1,69	1,60	1,56	1,46	шт
17843	Канал DOMUS 1025 круглый, белый, d 100мм/2,5м	8,23	7,78	7,61	7,20	шт
17844	Канал DOMUS 2010 круглый, белый, d 125мм/1м	4,38	4,13	4,04	3,83	шт
18726	Канал DOMUS 2025 круглый, белый, d 125мм/2,5м	10,30	9,71	9,49	9,00	шт
19737	Канал DOMUS 4010 плоский, белый, 1м	5,08	4,82	4,72	4,45	шт
19738	Канал DOMUS 4015 плоский, белый, 1.5м	7,67	7,28	7,12	6,72	шт
19694	Канал DOMUS 433 ПХВ мультивент 3м	10,18	9,54	9,32	8,76	шт
11866	Канал DOMUS 7005 плоский, белый, 0,5м	2,59	2,45	2,40	2,27	шт
19739	Колено DOMUS 430 соединит. с фитингом	1,70	1,61	1,57	1,49	шт
19740	Колено DOMUS 440 соединит. с фитингом	5,78	5,50	5,36	5,06	шт
19741	Колено DOMUS 450 горизонтальное	1,99	1,90	1,84	1,74	шт
19742	Колено DOMUS 460 вертикальное	1,90	1,79	1,75	1,66	шт
13930	"Крестовина ВЕНТС ""Вентс СМЭ КМ-100"""	5,96	5,75	5,52	5,30	шт
13931	"Крестовина ВЕНТС ""Вентс СМЭ КМ-125"""	6,97	6,71	6,46	6,19	шт
19774	"Муфта ""Вентс"" СПЭ ПМ 100"	1,42	1,37	1,33	1,28	шт
19790	"Муфта ""Вентс"" СПЭ ПМ 125"	1,78	1,70	1,66	1,60	шт
19765	"Муфта ""Вентс"" СПЭ ПМ 150"	2,14	2,05	1,99	1,92	шт
17793	"Муфта ""Вентс"" СПЭ ПМ 200"	3,44	3,25	3,05	2,86	шт
19745	Переходник DOMUS 118, внеш125/внутр150	1,90	1,79	1,75	1,66	шт
19746	Переходник DOMUS 119, внеш100/внутр125	1,70	1,61	1,57	1,49	шт
19690	Переходник DOMUS 380 гибких кан. d100	0,90	0,84	0,83	0,78	шт
19743	Переходник DOMUS 470 кругл -> прямой	1,90	1,79	1,75	1,66	шт
19744	Переходник DOMUS 471 кругл -> прямой	1,90	1,79	1,75	1,66	шт
19691	Переходник DOMUS 580 гибких кан. d125	1,39	1,31	1,27	1,20	шт
19692	Переходник DOMUS 680 гибких кан. d150	2,00	1,87	1,84	1,73	шт
19750	Редуктор DOMUS 477 прямоугольный	2,20	2,08	2,00	1,92	шт
16204	Редуктор ВЕНТС металл. PM 100/125	1,52	1,42	1,37	1,31	шт
16205	Редуктор ВЕНТС металл. PM 125/150	1,81	1,69	1,62	1,56	шт
16206	Редуктор ВЕНТС металл. PM 150/200	2,39	2,23	2,15	2,06	шт
16292	Соединитель DOMUS 111,  каналов d100	2,06	1,99	1,92	1,85	шт
19751	Соединитель DOMUS 420 д/плоских каналов	0,89	0,84	0,83	0,78	шт
19693	Соединитель DOMUS 427 д/плоских каналов с клапаном	1,39	1,31	1,27	1,20	шт
18699	Соединитель DOMUS 494(1111) каналов d100 с клап.	3,68	3,55	3,43	3,30	шт
18698	Соединитель DOMUS 594 каналов d125 с клап.	4,39	4,25	4,09	3,94	шт
19769	Соединитель EUREKA E-219 (200/150)	3,19	3,02	2,87	2,72	шт
19749	Тройник DOMUS 582 плоский горизонтальный	12,55	11,90	11,45	10,99	шт
19781	"Тройник ВЕНТС ""Вентс СМЭ ТМ-100"""	4,73	4,57	4,42	4,09	шт
19782	"Тройник ВЕНТС ""Вентс СМЭ ТМ-125"""	5,41	5,23	5,05	4,69	шт
19783	"Тройник ВЕНТС ""Вентс СМЭ ТМ-150"""	6,11	5,90	5,70	5,29	шт
19789	"Тройник ВЕНТС ""Вентс СМЭ ТМ-200"""	7,62	7,45	7,30	7,13	шт
19831	Тройник металл. угловой 60гр. ТМУ-100	4,73	4,57	4,42	4,09	шт
19832	Тройник металл. угловой 60гр. ТМУ-125	5,41	5,23	5,05	4,69	шт
19833	Тройник металл. угловой 60гр. ТМУ-150	6,11	5,90	5,70	5,29	шт
19834	Тройник металл. угловой 60гр. ТМУ-200	7,62	7,45	7,30	7,13	шт
19678	Тройник мультивент DOMUS-482	5,48	5,15	4,97	4,63	шт
19796	Фланец Вентс-СМЭ Ф 100	1,42	1,37	1,33	1,28	шт
19793	Фланец Вентс-СМЭ Ф 125	1,48	1,42	1,39	1,30	шт
19798	Фланец Вентс-СМЭ Ф 150	1,54	1,49	1,45	1,34	шт
19837	Фланец Вентс-СМЭ Ф 200/150	2,10	2,03	1,97	1,84	шт
19755	Хомут EUREKA соединительный 131 OM d 130	0,76	0,72	0,71	0,68	шт
19730	Хомут EUREKA соединительный 181 OM d 150	0,95	0,91	0,89	0,86	шт
19729	Хомут EUREKA соединительный 31 OM d 100	0,58	0,55	0,54	0,53	шт
19773	Хомут EUREKA соединительный d 200	1,56	1,48	1,45	1,40	шт
19753	Хомут Vortice CA-FU 125, пара, (22668)	11,30	10,73	10,48	9,90	пара
						
17 Вставки, Фурнитура, Кляймеры, Решетки, Вентиляторы. 17 Решетки вент. металл., анемостаты, дверцы, заслонки,  цены в $						
						
13763	Анемостат А 100 ВР белый	3,44	3,10	2,75	2,51	шт
13702	Анемостат А 125 ВР белый	3,78	3,41	3,02	2,64	шт
13762	Анемостат А 150 ВР белый	6,13	5,52	4,91	4,49	шт
13881	Анемостат А 200 ВР белый	11,27	10,14	9,01	8,29	шт
11867	Анемостат приточный А 150 ПР белый	5,54	5,00	4,45	4,19	шт
13760	Анемостат с фланцем А 100 ВРФ белый	4,74	4,27	3,79	3,37	шт
13758	Анемостат с фланцем А 125 ВРФ белый	5,22	4,70	4,18	3,62	шт
13759	Анемостат с фланцем А 150 ВРФ белый	7,67	6,90	6,13	5,46	шт
19784	Анемостат с фланцем А 200 ВРФ белый	12,29	11,06	9,83	9,22	шт
13929	Анемостат с фланцем А 200 ВРФ/150 белый	12,29	12,29	12,29	9,22	шт
13920	Дверцы вентиляционные Д 150х200	4,72	4,25	3,90	3,54	шт
13889	Дверцы вентиляционные Д 200х200	5,20	4,68	4,30	3,90	шт
13877	Дверцы вентиляционные Д 200х250	5,90	5,32	4,87	4,43	шт
13943	Дверцы вентиляционные Д 200х300	6,68	6,02	5,52	5,02	шт
12879	Дверцы вентиляционные Д 300х300	6,96	6,29	5,75	5,23	шт
13916	Решетка вент. МВ 100 ПФ белая	3,10	2,80	2,60	2,15	шт
13775	Решетка вент. МВ 125 ПФ белая	3,28	2,95	2,65	2,28	шт
13917	Решетка вент. МВ 150 ПФ белая	3,46	3,11	2,80	2,40	шт
13928	Решетка вент. МВ 200 ПФ белая	3,88	3,25	3,17	2,33	шт
13875	Решетка вент. металл. МВМ-125	1,88	1,76	1,61	1,54	шт
13789	Решетка вент. металл. МВМ-150	2,11	1,98	1,80	1,73	шт
13790	Решетка вент. металл. МВМ-200	2,86	2,69	2,44	2,34	шт
12801	Решетка вент. металл. МВМ-200 Цинк	2,29	2,21	2,14	2,05	шт
13990	Решетка вент. металл. МВМ-250	3,90	3,65	3,31	3,19	шт
12815	Решетка вент. металл. МВМ-250 Цинк	3,11	3,00	2,89	2,78	шт
13876	Решетка вент. металл. МВМ-300	5,18	4,86	4,42	4,25	шт
12816	Решетка вент. металл. МВМ-300 Цинк	4,08	3,94	3,79	3,65	шт
						
17 Вставки, Фурнитура, Кляймеры, Решетки, Вентиляторы. 17 Решетки вент. пластиковые,  цены в $						
						
13703	Решетка вент. МВ 100 беж 153х153 (100х100)	2,20	1,98	1,76	1,54	шт
13704	Решетка вент. МВ 100 бел 153х153 (100х100)	2,20	1,98	1,76	1,54	шт
13705	Решетка вент. МВ 100 В беж 153х153 D 100	2,46	2,22	1,97	1,73	шт
13706	Решетка вент. МВ 100 В бел 153х153 D 100	2,46	2,22	1,97	1,73	шт
13707	Решетка вент. МВ 100 В дер 153х153 D 100	2,46	2,22	1,97	1,73	шт
13708	Решетка вент. МВ 100 В корич 153х153 D100	2,46	2,22	1,97	1,73	шт
13810	Решетка вент. МВ 100 ВЖ белая	2,47	2,22	1,98	1,73	шт
13808	Решетка вент. МВ 100 ВР белая	2,99	2,69	2,39	2,09	шт
13809	Решетка вент. МВ 100 Ж белая	2,20	1,98	1,76	1,54	шт
14150	Решетка вент. МВ 100 К абс белая	2,56	2,40	2,32	2,16	шт
13709	Решетка вент. МВ 100 корич 153х153 (100х100)	2,20	1,98	1,76	1,54	шт
13710	Решетка вент. МВ 100 Р белая	2,81	2,53	2,24	1,97	шт
13711	Решетка вент. МВ 100 Р дерево	2,81	2,53	2,24	1,97	шт
16877	Решетка вент. МВ 100 Р коричневая	2,81	2,53	2,24	1,97	шт
13766	Решетка вент. МВ 100б В белая	1,72	1,55	1,38	1,10	шт
13909	Решетка вент. МВ 100б В дерево (бук)	1,72	1,62	1,50	1,25	шт
13818	Решетка вент. МВ 100б Вc бежевая	1,70	1,57	1,37	1,22	шт
13819	Решетка вент. МВ 100б Вc коричневая	1,70	1,57	1,37	1,22	шт
13768	Решетка вент. МВ 101 белая	2,20	1,98	1,76	1,54	шт
19785	Решетка вент. МВ 101 ВР белая	2,84	2,56	2,27	2,09	шт
13915	Решетка вент. МВ 101 Р белая	2,83	2,83	2,83	1,97	шт
13910	Решетка вент. МВ 102 белая	2,20	2,12	2,04	1,97	шт
13911	Решетка вент. МВ 102 В белая	2,41	2,33	2,23	2,15	шт
14026	Решетка вент. МВ 102 ВК белая	2,41	2,33	2,23	2,15	шт
13944	Решетка вент. МВ 102 К белая	2,20	2,12	2,04	1,97	шт
13712	Решетка вент. МВ 120 бежевая	2,90	2,41	2,22	2,03	шт
13713	Решетка вент. МВ 120 белая	2,90	2,41	2,14	2,03	шт
17792	Решетка вент. МВ 120 В бежевая	3,07	2,68	2,36	2,15	шт
13714	Решетка вент. МВ 120 В белая	3,07	2,76	2,46	2,15	шт
13715	Решетка вент. МВ 120 В дерево	3,07	2,68	2,36	2,15	шт
13716	Решетка вент. МВ 120 В корич	3,07	2,68	2,36	2,15	шт
13717	Решетка вент. МВ 120 ВР белая	3,70	3,08	2,72	2,58	шт
13718	Решетка вент. МВ 120 ВР корич	3,70	3,08	2,72	2,33	шт
13719	Решетка вент. МВ 120 дерево светлое	2,90	2,62	2,32	1,81	шт
13941	Решетка вент. МВ 120 дуб темный	2,90	2,62	2,32	2,03	шт
13720	Решетка вент. МВ 120 корич	2,90	2,62	2,32	2,03	шт
13721	Решетка вент. МВ 120 Р белая	3,34	3,01	2,68	2,34	шт
13761	Решетка вент. МВ 120 Р дерево	3,34	3,04	2,64	2,34	шт
13722	Решетка вент. МВ 120 Р корич	3,34	3,04	2,64	2,34	шт
19786	Решетка вент. МВ 121 белая	2,70	2,44	2,16	2,03	шт
19787	Решетка вент. МВ 125 бВ белая	1,72	1,55	1,38	1,28	шт
13811	Решетка вент. МВ 125 бВС белая	2,11	1,90	1,69	1,48	шт
13942	Решетка вент. МВ 125 белая	1,84	1,66	1,48	1,28	шт
13723	Решетка вент. МВ 125(а)-1 белая	1,34	1,21	1,07	0,86	шт
13724	Решетка вент. МВ 125(а) белая	1,84	1,66	1,48	1,28	шт
13744	Решетка вент. МВ 125а ВД белая	2,71	2,44	2,17	1,73	шт
13767	Решетка вент. МВ 126 а белая	2,00	1,80	1,60	1,28	шт
13927	Решетка вент. МВ 126 аВД белая	2,00	1,86	1,80	1,73	шт
13725	Решетка вент. МВ 150-1 белая	1,24	1,12	1,00	0,86	шт
13726	Решетка вент. МВ 150 бВ белая	2,20	1,98	1,76	1,54	шт
13727	Решетка вент. МВ 150 бВР белая	2,81	2,53	2,24	1,97	шт
13745	Решетка вент. МВ 150 бВРД  белая	3,76	3,38	3,01	2,40	шт
13728	Решетка вент. МВ 150 белая	1,84	1,66	1,48	1,28	шт
13746	Решетка вент. МВ 150 ВД белая	2,71	2,44	2,17	1,73	шт
13753	Решетка вент. МВ 160 а белая	5,30	4,78	4,24	2,64	шт
13754	Решетка вент. МВ 160 а ВД белая	5,90	5,32	4,72	3,07	шт
13755	Решетка вент. МВ 160 а Ж белая	5,30	4,78	4,24	2,64	шт
13756	Решетка вент. МВ 160 а ЖВД белая	5,90	5,32	4,72	3,07	шт
13729	Решетка вент. МВ 350 белая	2,72	2,45	2,17	1,90	шт
13730	Решетка вент. МВ 350 дерево	2,72	2,45	2,17	1,90	шт
13817	Решетка вент. МВ 350 коричневая	2,72	2,44	2,12	1,90	шт
13731	Решетка вент. МВ 350 Р белая	3,07	2,76	2,46	2,15	шт
13732	Решетка вент. МВ 350 Р дерево	3,07	2,68	2,36	2,15	шт
13933	Решетка вент. МВ 350 Р коричневая	3,07	2,76	2,46	2,15	шт
13748	Решетка вент. МВ 430/2 белая	3,78	3,41	3,02	2,76	шт
13699	Решетка вент. МВ 430/2 корич.	3,78	3,41	3,02	2,76	шт
13733	Решетка вент. МВ 450 белая	3,42	3,08	2,74	2,40	шт
13734	Решетка вент. МВ 450 дерево	3,42	3,08	2,74	2,40	шт
13735	Решетка вент. МВ 450 корич	3,42	3,08	2,74	2,28	шт
13736	Решетка вент. МВ 450 Р белая	3,78	3,41	3,02	2,64	шт
13737	Решетка вент. МВ 450 Р дерево	3,78	3,41	3,02	2,36	шт
13738	Решетка вент. МВ 450 Р корич	3,78	3,41	3,02	2,64	шт
13739	Решетка вент. МВ 450 Р/2 белая	5,62	5,06	4,50	2,95	шт
13740	Решетка вент. МВ 450/2 белая	5,36	4,82	4,28	2,76	шт
13757	Решетка вент. МВ 450/2 корич	5,36	4,82	4,28	2,63	шт
18725	Решетка вент. МВ 450/2 черная	5,36	4,82	4,28	4,04	шт
19858	Решетка вент. МВ 50/2бВ белая	1,06	0,95	0,84	0,74	уп.
19859	Решетка вент. МВ 51/2бВ белая	1,06	0,95	0,84	0,74	уп.
13741	Решетка вент. РД 600 белая  600х600	8,78	8,10	7,37	6,13	шт
13747	Решетка вент. РД 600 дерево 600х600	8,78	7,91	7,02	6,13	шт
11868	Решетка вент. РД 600 К прозр. 600х600	13,13	11,86	10,50	9,23	шт
13742	Решетка вент. РД 600/1 белая 300х300	2,20	1,98	1,76	1,54	шт
13743	Решетка вент. РД 600/2 белая 600х300	4,39	3,95	3,52	3,07	шт
13918	Решетка вент. РД 600/6 белая 600х900	13,27	13,27	13,27	9,22	шт
						
171 Люки, решетки металлические. 171 Люки ревизионные (Днепр),  цены в $						
						
10538	Люк ревизионный 150x150 мм зам. (глян.)	7,20	6,96	6,72	6,24	шт
10541	Люк ревизионный 150x150 мм зам. (шагр.)	7,20	6,96	6,72	6,24	шт
10539	Люк ревизионный 150x150 мм маг. (глян.)	5,03	4,86	4,69	4,36	шт
10540	Люк ревизионный 150x150 мм маг. (шагр.)	5,03	4,86	4,69	4,36	шт
10544	Люк ревизионный 150x180 мм зам. (глян.)	7,20	6,96	6,72	6,24	шт
10545	Люк ревизионный 150x180 мм зам. (шагр.)	7,20	6,96	6,72	6,24	шт
10542	Люк ревизионный 150x180 мм маг. (глян.)	5,03	4,86	4,69	4,36	шт
10543	Люк ревизионный 150x180 мм маг. (шагр.)	5,03	4,86	4,69	4,36	шт
10548	Люк ревизионный 200x200 мм зам. (глян.)	7,20	6,96	6,72	6,24	шт
10549	Люк ревизионный 200x200 мм зам. (шагр.)	7,20	6,96	6,72	6,24	шт
10546	Люк ревизионный 200x200 мм маг. (глян.)	5,03	4,86	4,69	4,36	шт
10547	Люк ревизионный 200x200 мм маг. (шагр.)	5,03	4,86	4,69	4,36	шт
10552	Люк ревизионный 200x250 мм зам. (глян.)	8,30	8,02	7,74	7,19	шт
10553	Люк ревизионный 200x250 мм зам. (шагр.)	8,30	8,02	7,74	7,19	шт
10550	Люк ревизионный 200x250 мм маг. (глян.)	6,11	5,90	5,70	5,29	шт
10551	Люк ревизионный 200x250 мм маг. (шагр.)	6,11	5,90	5,70	5,29	шт
10556	Люк ревизионный 200x300 мм зам. (глян.)	8,73	8,44	8,15	7,57	шт
10557	Люк ревизионный 200x300 мм зам. (шагр.)	8,73	8,44	8,15	7,57	шт
10554	Люк ревизионный 200x300 мм маг. (глян.)	6,54	6,32	6,10	5,67	шт
10555	Люк ревизионный 200x300 мм маг. (шагр.)	6,54	6,32	6,10	5,67	шт
10560	Люк ревизионный 200x350 мм зам. (глян.)	9,38	9,06	8,75	8,13	шт
10561	Люк ревизионный 200x350 мм зам. (шагр.)	9,38	9,06	8,75	8,13	шт
10558	Люк ревизионный 200x350 мм маг. (глян.)	7,20	6,96	6,72	6,24	шт
10559	Люк ревизионный 200x350 мм маг. (шагр.)	7,20	6,96	6,72	6,24	шт
10564	Люк ревизионный 200x400 мм зам. (глян.)	9,83	9,50	9,17	8,52	шт
10565	Люк ревизионный 200x400 мм зам. (шагр.)	9,83	9,50	9,17	8,52	шт
10562	Люк ревизионный 200x400 мм маг. (глян.)	7,64	7,38	7,13	6,62	шт
10563	Люк ревизионный 200x400 мм маг. (шагр.)	7,64	7,38	7,13	6,62	шт
10568	Люк ревизионный 250x250 мм зам. (глян.)	8,51	8,22	7,94	7,37	шт
10569	Люк ревизионный 250x250 мм зам. (шагр.)	8,51	8,22	7,94	7,37	шт
10566	Люк ревизионный 250x250 мм маг. (глян.)	6,33	6,12	5,91	5,49	шт
10567	Люк ревизионный 250x250 мм маг. (шагр.)	6,33	6,12	5,91	5,49	шт
10572	Люк ревизионный 250x300 мм зам. (глян.)	9,17	8,86	8,55	7,94	шт
10573	Люк ревизионный 250x300 мм зам. (шагр.)	9,17	8,86	8,55	7,94	шт
10570	Люк ревизионный 250x300 мм маг. (глян.)	6,98	6,74	6,51	6,05	шт
10571	Люк ревизионный 250x300 мм маг. (шагр.)	6,98	6,74	6,51	6,05	шт
10576	Люк ревизионный 250x350 мм зам. (глян.)	9,60	9,28	8,96	8,32	шт
10577	Люк ревизионный 250x350 мм зам. (шагр.)	9,60	9,28	8,96	8,32	шт
10574	Люк ревизионный 250x350 мм маг. (глян.)	7,43	7,18	6,93	6,44	шт
10575	Люк ревизионный 250x350 мм маг. (шагр.)	7,43	7,18	6,93	6,44	шт
10580	Люк ревизионный 250x400 мм зам. (глян.)	10,04	9,70	9,37	8,70	шт
10581	Люк ревизионный 250x400 мм зам. (шагр.)	10,04	9,70	9,37	8,70	шт
10578	Люк ревизионный 250x400 мм маг. (глян.)	7,86	7,60	7,34	6,81	шт
10579	Люк ревизионный 250x400 мм маг. (шагр.)	7,86	7,60	7,34	6,81	шт
10584	Люк ревизионный 300x300 мм зам. (глян.)	9,83	9,50	9,17	8,52	шт
10585	Люк ревизионный 300x300 мм зам. (шагр.)	9,83	9,50	9,17	8,52	шт
10582	Люк ревизионный 300x300 мм маг. (глян.)	7,64	7,38	7,13	6,62	шт
10583	Люк ревизионный 300x300 мм маг. (шагр.)	7,64	7,38	7,13	6,62	шт
10588	Люк ревизионный 300x350 мм зам. (глян.)	10,47	10,12	9,77	9,07	шт
10589	Люк ревизионный 300x350 мм зам. (шагр.)	10,47	10,12	9,77	9,07	шт
10586	Люк ревизионный 300x350 мм маг. (глян.)	8,30	8,02	7,74	7,19	шт
10587	Люк ревизионный 300x350 мм маг. (шагр.)	8,30	8,02	7,74	7,19	шт
10592	Люк ревизионный 300x400 мм зам. (глян.)	10,91	10,54	10,18	9,45	шт
10593	Люк ревизионный 300x400 мм зам. (шагр.)	10,91	10,54	10,18	9,45	шт
10590	Люк ревизионный 300x400 мм маг. (глян.)	8,73	8,44	8,15	7,57	шт
10591	Люк ревизионный 300x400 мм маг. (шагр.)	8,73	8,44	8,15	7,57	шт
10596	Люк ревизионный 350x350 мм зам. (глян.)	11,13	10,76	10,39	9,65	шт
10597	Люк ревизионный 350x350 мм зам. (шагр.)	11,13	10,76	10,39	9,65	шт
10594	Люк ревизионный 350x350 мм маг. (глян.)	8,94	8,64	8,34	7,75	шт
10595	Люк ревизионный 350x350 мм маг. (шагр.)	8,94	8,64	8,34	7,75	шт
10600	Люк ревизионный 350x400 мм зам. (глян.)	11,78	11,38	10,99	10,21	шт
10894	Люк ревизионный 350x400 мм зам. (шагр.)	11,78	11,38	10,99	10,21	шт
10598	Люк ревизионный 350x400 мм маг. (глян.)	9,60	9,28	8,96	8,32	шт
10599	Люк ревизионный 350x400 мм маг. (шагр.)	9,60	9,28	8,96	8,32	шт
11310	Люк ревизионный 400x400 мм зам. (глян.)	12,66	12,24	11,82	10,97	шт
11311	Люк ревизионный 400x400 мм зам. (шагр.)	12,66	12,24	11,82	10,97	шт
10895	Люк ревизионный 400x400 мм маг. (глян.)	10,47	10,12	9,77	9,07	шт
11309	Люк ревизионный 400x400 мм маг. (шагр.)	10,47	10,12	9,77	9,07	шт
11314	Люк ревизионный 500x500 мм зам. (глян.)	15,06	14,56	14,06	13,05	шт
11315	Люк ревизионный 500x500 мм зам. (шагр.)	15,06	14,56	14,06	13,05	шт
11312	Люк ревизионный 500x500 мм маг. (глян.)	12,87	12,44	12,01	11,15	шт
11313	Люк ревизионный 500x500 мм маг. (шагр.)	12,87	12,44	12,01	11,15	шт
11318	Люк ревизионный 600x600 мм зам. (глян.)	18,54	17,92	17,30	16,07	шт
11319	Люк ревизионный 600x600 мм зам. (шагр.)	18,54	17,92	17,30	16,07	шт
11316	Люк ревизионный 600x600 мм маг. (глян.)	16,37	15,82	15,27	14,18	шт
11317	Люк ревизионный 600x600 мм маг. (шагр.)	16,37	15,82	15,27	14,18	шт
						
171 Люки, решетки металлические. 171 Люки ревизионные, металлические,  цены в $						
						
13501	 Люк ревизионный 150х200 мм (замок)	10,02	9,78	9,47	9,23	шт
13500	 Люк ревизионный 150х200 мм (магнит)	8,81	8,60	8,32	8,11	шт
13352	 Люк ревизионный 200х200 мм (замок)	10,82	10,56	10,22	9,96	шт
13351	 Люк ревизионный 200х200 мм (магнит)	9,26	9,04	8,75	8,52	шт
13350	 Люк ревизионный 200х300 мм (замок)	12,13	11,84	11,46	11,17	шт
13599	 Люк ревизионный 200х300 мм (магнит)	10,63	10,63	10,63	10,63	шт
13354	 Люк ревизионный 300х300 мм (замок)	13,48	13,15	12,72	12,40	шт
13353	 Люк ревизионный 300х300 мм (магнит)	11,90	11,62	11,23	10,94	шт
13498	 Люк ревизионный 400х400 мм (замок)	20,23	19,75	19,10	18,62	шт
13598	 Люк ревизионный 400х400 мм (магнит)	20,23	19,75	19,10	18,62	шт
13925	 Люк ревизионный 500х500 мм (замок)	24,58	23,99	23,20	22,61	шт
13201	 Люк ревизионный 500х500 мм (магнит)	24,58	23,99	23,20	22,61	шт
13503	 Люк ревизионный 600х600 мм (замок)	28,37	27,68	26,77	26,09	шт
12399	 Люк ревизионный 600х600 мм (магнит)	28,37	27,68	26,77	26,09	шт
17003	Люк ревизионный 100х100 мм (магнит)	15,08	0,00	0,00	0,00	шт
12700	Люк ревизионный 1150х1080 мм (магнит)	172,14	0,00	0,00	0,00	шт
13528	Люк ревизионный 150х150 мм (замок)	0,00	0,00	0,00	0,00	шт
14237	Люк ревизионный 200х300 мм (магнит) черный	11,92	11,63	11,24	10,97	шт
13532	Люк ревизионный 200х400 мм (магнит)	0,00	0,00	0,00	0,00	шт
13497	Люк ревизионный 250х250 мм (замок)	0,00	0,00	0,00	0,00	шт
17004	Люк ревизионный 300х250 мм (магнит)	20,39	0,00	0,00	0,00	шт
11294	Люк ревизионный 300х500 мм (замок)	20,39	0,00	0,00	0,00	шт
11255	Люк ревизионный 365х250 мм (замок)	32,08	32,08	32,08	32,08	шт
13502	Люк ревизионный 400х200 мм (замок)	0,00	0,00	0,00	0,00	шт
13499	Люк ревизионный 400х450 мм (замок)	0,00	0,00	0,00	0,00	шт
13250	Люк ревизионный 400х600 мм (замок)	0,00	0,00	0,00	0,00	шт
11293	Люк ревизионный 600х800 мм (замок)	0,00	0,00	0,00	0,00	шт
13496	Люк ревизионный 600х850 мм (замок)	0,00	0,00	0,00	0,00	шт
						
171 Люки, решетки металлические. 171 Решетки вентиляционные, металлические,  цены в $						
						
11281	Решетка вентиляционная 150х200 перф. 5х5	7,40	7,22	6,98	6,80	шт
11287	Решетка вентиляционная 150х200 перф. d5	7,40	7,22	6,98	6,80	шт
11282	Решетка вентиляционная 200х200 перф. 5х5	8,40	8,20	7,93	7,73	шт
11288	Решетка вентиляционная 200х200 перф. d5	8,40	8,20	7,93	7,73	шт
11283	Решетка вентиляционная 300х300 перф. 5х5	11,92	11,63	11,24	10,96	шт
11289	Решетка вентиляционная 300х300 перф. d5	11,92	11,63	11,24	10,96	шт
11284	Решетка вентиляционная 400х400 перф. 5х5	16,19	15,80	15,28	14,89	шт
11290	Решетка вентиляционная 400х400 перф. d5	16,19	15,80	15,28	14,89	шт
11285	Решетка вентиляционная 500х500 перф. 5х5	21,52	21,00	20,30	19,79	шт
11291	Решетка вентиляционная 500х500 перф. d5	21,52	21,00	20,30	19,79	шт
11286	Решетка вентиляционная 600х600 перф. 5х5	26,41	25,78	24,94	24,30	шт
11292	Решетка вентиляционная 600х600 перф. d5	26,41	25,78	24,94	24,30	шт
						
171 Люки, решетки металлические. 171 Решетки радиаторные, металлические,  цены в $						
						
13777	Крепеж для металлических решеток	0,73	0,73	0,73	0,73	компл
12695	Лист металл. 1000х2000, перф. 10х10х15	63,64	62,11	60,07	58,55	шт
12694	Лист металл. 1000х2000, перф. 10х10х28	63,64	62,11	60,07	58,55	шт
12696	Лист металл. 1000х2000, перф. 5х5х7,5	63,64	62,11	60,07	58,55	шт
12698	Лист металл. 1000х2000, перф. d3	63,64	62,11	60,07	58,55	шт
12697	Лист металл. 1000х2000, перф. d5	63,64	62,11	60,07	58,55	шт
